Total Runs_,Absolute Difference_mean,Absolute Difference_std,Absolute Difference_min,Absolute Difference_max,Percentage Difference_mean,Percentage Difference_std,Percentage Difference_min,Percentage Difference_max
1,-1195.5333333333333,10363.76622707806,-31650,22293,-8.0224609375,75.34239705965129,-100.0,136.065673828125
2,1766.2333333333333,9918.030775356545,-13897,40257,-5.969645182291667,99.66727652367751,-100.0,343.26171875
3,-214.3111111111111,4672.455908747766,-14149,20266,-35.918375651041664,55.66210583391789,-100.0,175.0
4,-44.31666666666667,6748.421971202781,-17090,33888,-20.329793294270832,76.71001044113258,-100.0,303.125
5,-1775.2933333333333,5126.102844486468,-25235,4315,-25.364583333333332,72.06020559452759,-100.0,186.42578125
6,-514.1222222222223,8484.259966970663,-32183,49185,-16.741468641493057,92.37051506522538,-100.0,425.0
7,538.3333333333334,10456.026548641576,-26605,79997,-16.540382021949405,88.89290030476948,-100.0,432.8125
8,-734.05,8822.117836638174,-30711,57149,-18.614578247070312,79.99218407472597,-100.0,271.875
9,875.1407407407407,10773.46728868393,-31702,100169,-15.8294677734375,86.84079673624981,-100.0,305.6915283203125
10,-53.21333333333333,10586.521533646985,-29711,98231,-16.641133626302082,85.07425082161214,-100.0,354.2724609375
11,1341.2666666666667,7705.47999417625,-17695,43979,-4.487360174005682,93.28496413917065,-100.0,323.32763671875
12,164.09444444444443,12227.511302168636,-30811,123402,-24.765981038411457,78.02639811996666,-100.0,376.593017578125
13,541.0820512820513,17221.445701656077,-31258,223053,-7.603665865384615,108.53448483983722,-100.0,680.7037353515625
14,-898.4095238095238,7828.934783293138,-31897,45595,-20.80905006045387,91.65557651690067,-100.0,531.34765625
15,392.14666666666665,10801.17873655133,-31441,70746,-18.82805718315972,88.1999247753748,-100.0,427.197265625
16,374.5833333333333,9182.214935555237,-29241,82894,-10.581766764322916,92.25177831835605,-100.0,357.2265625
17,1332.9411764705883,8472.4941772267,-27453,69235,-2.3492431640625,95.80015958011592,-100.0,368.1396484375
18,-402.31851851851854,8134.72564355666,-31418,77883,-13.418251320167824,88.2737713213543,-100.0,475.360107421875
19,-1439.8315789473684,6287.11390042256,-31642,17548,-21.351029245476973,86.85096336280398,-100.0,428.41796875
20,1482.9166666666667,13438.271015872626,-31093,148254,-6.047078450520833,104.02799243785923,-100.0,491.6015625
21,-492.0761904761905,9430.52316975697,-31271,88063,-19.01642330109127,81.05002822324606,-100.0,403.125
22,235.96666666666667,11526.706699366996,-32060,128179,-14.789447206439394,95.6504717221359,-100.0,395.8984375
23,-76.54202898550724,7624.971929349886,-31221,57641,-18.12483193217844,83.67011197847978,-100.0,421.09375
24,-241.3527777777778,10318.099642325698,-28022,98101,-13.095575968424479,89.17244321123475,-100.0,358.001708984375
25,-414.9386666666667,8022.020708997603,-32127,70985,-16.563313802083332,81.86500954008474,-100.0,379.6875
26,-401.42820512820515,9140.044560017177,-29688,119247,-19.45313282502003,80.3713220488753,-100.0,363.9129638671875
27,-472.3851851851852,8527.954001996965,-32032,82886,-16.6082763671875,80.59452010022237,-100.0,555.712890625
28,-450.4547619047619,9338.034458432603,-32663,99194,-20.229957217261905,84.01037683438548,-100.0,430.6640625
29,-80.95632183908046,10033.67993243591,-30622,94334,-18.238328955639368,83.40714910018316,-100.0,369.23828125
30,-13.108888888888888,10745.774591099846,-32103,135915,-19.574659559461807,82.38762824043634,-100.0,587.744140625
31,-331.2752688172043,8064.164796146507,-32379,61389,-9.81127667170699,95.01769832414051,-100.0,507.8125
32,-448.5104166666667,10248.227872873349,-32747,112588,-15.885016123453775,86.39715725124007,-100.0,391.015625
33,832.5959595959596,12591.15235528471,-31411,154301,-3.3604847301136362,103.64283110299598,-100.0,533.203125
34,-69.58431372549019,10300.309035350447,-30919,148397,-21.540114458869486,87.79131635087329,-100.0,542.7978515625
35,-221.27238095238096,8415.601909781104,-32507,73983,-13.22636486235119,94.86072752155776,-100.0,548.4375
36,-532.9981481481482,9201.120619114388,-32620,115300,-18.006004050925927,82.73129748584111,-100.0,437.890625
37,-237.7783783783784,7990.185983672925,-32086,55692,-14.11584252709741,83.17203099612756,-100.0,362.5
38,-408.780701754386,8055.532791045285,-27857,78531,-20.653713293242873,85.16878703530695,-100.0,671.69189453125
39,114.13333333333334,10246.229923064453,-32637,120048,-11.806604108239851,98.84848901287508,-100.0,528.13720703125
40,95.13,10186.702189239348,-32570,125657,-11.864481608072916,99.4206864770426,-100.0,445.1171875
41,-685.5479674796748,8384.91176091499,-32323,135421,-13.240301861026422,88.84686758486946,-100.0,439.2578125
42,-273.79047619047617,9447.858794469093,-32028,87262,-17.146107507130456,79.90298525730685,-100.0,346.875
43,-341.43565891472866,8074.880417992299,-32746,104457,-14.039779781371124,84.97475350193383,-100.0,472.65625
44,-25.93030303030303,9098.522941774332,-32113,107570,-15.905817205255682,92.86422093592226,-100.0,556.7138671875
45,-550.64,7075.449375744556,-32593,68295,-21.10566767939815,77.17621651685073,-100.0,350.68359375
46,482.7449275362319,8640.207902398664,-32165,70966,-11.499660326086957,89.6757826196306,-100.0,630.7373046875
47,23.9177304964539,9253.945777375644,-32401,122644,-14.005352047318262,88.75694192129951,-100.0,529.4921875
48,448.7416666666667,16658.01541415358,-32242,357788,-15.878321329752604,99.96948803716768,-100.0,1091.88232421875
49,-169.08707482993196,9530.952331282615,-31474,126048,-11.904471261160714,96.63385593867889,-100.0,502.313232421875
50,-612.1626666666667,7860.349264395564,-31771,57538,-17.5595703125,92.5426824907199,-100.0,611.4501953125
51,-450.69019607843137,8060.60096670663,-32044,99995,-12.416988198274101,90.68753271169487,-100.0,643.408203125
52,-24.16025641025641,9869.533705279631,-31718,104208,-19.059679080278446,87.33021372466735,-100.0,524.21875
53,339.77735849056603,9273.933139100387,-31180,72805,-2.4832095739976414,106.67678867505126,-100.0,873.53515625
54,-671.5148148148148,7528.737994693038,-32082,67961,-17.413062578366127,84.13290780502967,-100.0,417.578125
55,-443.47030303030306,6968.9043034876,-32119,57435,-13.855117335464016,90.44684843722541,-100.0,696.09375
56,218.49761904761905,9877.098222734434,-31810,126152,-15.136217389787946,85.57694384813232,-100.0,491.40625
57,183.18947368421053,11429.411392399179,-31911,203104,-14.539052505939328,93.47111479438853,-100.0,619.82421875
58,-442.9206896551724,7965.582036205567,-30776,105947,-16.448027512122845,85.80778798138603,-100.0,466.796875
59,-286.9367231638418,7970.4275690831355,-32399,75814,-12.865566102798375,89.29929769478362,-100.0,477.34375
60,-618.8544444444444,7536.637269533168,-32619,92030,-19.612223307291668,81.8179204717241,-100.0,510.009765625
61,248.69398907103826,10626.142618253065,-29887,170598,-13.47018882876537,89.00844785535905,-100.0,530.419921875
62,-110.1010752688172,8342.33297247075,-32675,86815,-8.178156370757728,97.69073176910419,-100.0,739.84375
63,403.6148148148148,11372.535943202876,-30921,169754,-13.667741402116402,90.75821581693877,-100.0,587.652587890625
64,-51.140625,10671.239188616415,-32333,190183,-13.160556157430014,87.65328634137929,-100.0,580.3924560546875
65,258.9794871794872,11056.66620098806,-32684,154272,-14.961375701121796,86.09830225613082,-100.0,485.15625
66,-312.87070707070706,8674.07252024105,-32543,106823,-12.216405386876579,94.663071971954,-100.0,690.234375
67,-222.82189054726368,8690.948591462307,-32510,72068,-9.238126384678171,100.6562787894566,-100.0,712.5
68,-4.62843137254902,8932.377588079835,-32246,118863,-12.596647973154106,87.81295619554051,-100.0,378.7109375
69,-344.1855072463768,8789.432882111985,-32506,98428,-16.778658806989736,88.3052849059343,-100.0,648.4375
70,-141.59238095238095,10253.668348642137,-32443,177540,-15.011965797061013,88.46627222718419,-100.0,541.80908203125
71,442.74835680751175,11073.415042078701,-32087,121088,-9.95098848298122,97.10893695666465,-100.0,679.6875
72,-503.52037037037036,9056.477987089242,-32739,106451,-19.849415531864874,81.77319623692402,-100.0,441.50390625
73,-229.07762557077626,7854.306948783289,-32700,102325,-12.24289985552226,89.9692016958493,-100.0,647.65625
74,383.24504504504506,10108.352080125967,-32314,122298,-12.80552219700169,92.61489453215711,-100.0,749.560546875
75,-602.296,7860.254796882518,-32198,82953,-17.08926052517361,84.40479442909766,-100.0,448.876953125
76,-27.596491228070175,13485.509220241704,-31930,313575,-13.161939654433937,95.47628106881338,-100.0,956.9549560546875
77,-510.8632034632035,8380.503295276307,-32557,74967,-11.519915427996482,89.29842684316051,-100.0,496.09375
78,-464.4111111111111,8558.34980982224,-32031,111902,-10.015050121861645,99.83785973772216,-100.0,934.375
79,444.54599156118144,10676.586303420114,-32718,158771,-10.933286771492616,93.19047327654981,-100.0,592.96875
80,-306.03,8697.616840051469,-32673,87392,-15.26770273844401,89.95377349184976,-100.0,529.0771484375
81,354.4954732510288,12318.809220964022,-32623,199745,-11.167627656410751,94.17050784238063,-100.0,609.5733642578125
82,598.760162601626,11266.457483956232,-31185,141097,-7.927717503493394,97.26555502852844,-100.0,518.75
83,233.2690763052209,10480.90552847569,-32740,159194,-9.830248729292169,97.32461233568051,-100.0,879.6875
84,132.6015873015873,9551.490175125855,-32031,115279,-11.106024848090279,94.51442402642792,-100.0,651.953125
85,231.25725490196078,8598.858744490934,-31846,83615,-11.142834233302697,88.7955822791829,-100.0,833.10546875
86,-74.0015503875969,8750.024539209611,-31684,106868,-13.288347111191861,87.41987917884856,-100.0,546.875
87,433.8735632183908,9953.564597567974,-32267,130597,-13.48435909812021,92.19192010093609,-100.0,775.0
88,36.03030303030303,10178.626285530438,-32461,124528,-11.790734493371213,96.34824948535476,-100.0,664.599609375
89,61.262921348314606,10497.277154372372,-31623,205007,-9.865094017000233,90.78101893665017,-100.0,625.6317138671875
90,287.54,11558.394347647514,-32462,195283,-13.240550853587964,91.636656856059,-100.0,608.0078125
91,470.2197802197802,11100.960180461916,-32626,208177,-12.909165826035943,89.1348663794884,-100.0,635.3057861328125
92,-25.38695652173913,9362.759414304952,-32472,142197,-10.300076249716938,97.96930677113663,-100.0,716.40625
93,27.161290322580644,10169.643394271496,-32361,181707,-15.287792793738799,87.92697545915759,-100.0,554.5257568359375
94,-279.23758865248226,9058.139113119452,-32090,103555,-14.800694242436835,93.64485742646032,-100.0,1167.578125
95,112.82877192982455,9996.704695890543,-32565,129408,-11.99449826959978,88.30891635786051,-100.0,504.28466796875
96,-346.8541666666667,7900.56846457892,-32375,82047,-14.017772674560547,87.25568779408914,-100.0,582.03125
97,308.0123711340206,12563.586324975096,-32290,268564,-8.474838414143042,96.75308951331725,-100.0,819.59228515625
98,212.5625850340136,9883.642642885681,-32068,132881,-10.551739128268494,94.55521863338888,-100.0,556.73828125
99,-18.53063973063973,9910.35531224775,-32603,122528,-11.22844246501473,96.80996251562702,-100.0,684.576416015625
100,-274.1413333333333,9249.783460460134,-32713,125766,-16.249505615234376,86.66932782222376,-100.0,398.828125
